id,user_id,created_at,updated_at,start,end,timezone_offset,sport_id,score_state,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_duration.zone_zero_milli,score.zone_duration.zone_one_milli,score.zone_duration.zone_two_milli,score.zone_duration.zone_three_milli,score.zone_duration.zone_four_milli,score.zone_duration.zone_five_milli,score
515287004,96842,2022-09-23T01:46:59.333Z,2022-09-23T01:47:05.006Z,2022-09-23T00:27:26.045Z,2022-09-23T01:16:26.689Z,-05:00,0,SCORED,13.8485,151.0,196.0,2502.3997,100.0,0.0,0.0,0.0,8652.0,269165.0,444166.0,571977.0,1465034.0,181689.0,
513999589,96842,2022-09-21T02:03:07.416Z,2022-09-21T02:03:07.929Z,2022-09-21T01:06:16.927Z,2022-09-21T01:32:00.790Z,-05:00,0,SCORED,11.0209,151.0,182.0,1327.1176,100.0,0.0,0.0,0.0,0.0,121162.0,299929.0,298008.0,801730.0,23072.0,
513986483,96842,2022-09-21T01:16:50.795Z,2022-09-21T01:16:51.250Z,2022-09-21T00:32:25.710Z,2022-09-21T00:49:34.296Z,-05:00,0,SCORED,10.8257,165.0,181.0,1083.3727,100.0,0.0,0.0,0.0,0.0,20227.0,20187.0,61525.0,883441.0,43245.0,
512595977,96842,2022-09-18T17:26:23.750Z,2022-09-18T17:26:24.307Z,2022-09-18T16:29:23.232Z,2022-09-18T17:00:55.088Z,-05:00,0,SCORED,13.2567,162.0,186.0,1892.1875,100.0,0.0,0.0,0.0,15420.0,9613.0,133623.0,269166.0,1147802.0,316271.0,
510957219,96842,2022-09-16T01:37:51.219Z,2022-09-16T01:37:51.708Z,2022-09-16T00:42:24.312Z,2022-09-16T01:10:52.559Z,-05:00,0,SCORED,12.1681,161.0,186.0,1649.8236,100.0,0.0,0.0,0.0,0.0,26955.0,10575.0,343186.0,1199714.0,127855.0,
504346049,96842,2022-09-05T08:31:08.049Z,2022-09-05T08:31:08.535Z,2022-09-05T07:19:07.500Z,2022-09-05T07:42:11.786Z,+02:00,0,SCORED,10.5843,157.0,182.0,1269.0616,100.0,0.0,0.0,0.0,16381.0,14420.0,22109.0,496035.0,805579.0,29800.0,
502388345,96842,2022-09-01T21:00:30.314Z,2022-09-01T21:00:30.865Z,2022-09-01T19:59:48.894Z,2022-09-01T20:33:07.365Z,-04:00,0,SCORED,10.6179,140.0,181.0,1436.6748,100.0,0.0,0.0,0.0,24071.0,255695.0,629580.0,336457.0,748862.0,3845.0,
501813073,96842,2022-08-31T23:11:23.377Z,2022-08-31T23:11:23.840Z,2022-08-31T22:20:29.593Z,2022-08-31T22:46:34.575Z,-04:00,0,SCORED,11.8801,159.0,182.0,1526.6238,100.0,0.0,0.0,0.0,5807.0,23070.0,9614.0,375871.0,1118936.0,31723.0,
501226513,96842,2022-08-31T01:25:43.603Z,2022-08-31T01:25:44.388Z,2022-08-30T23:55:38.207Z,2022-08-31T00:52:37.569Z,-04:00,-1,SCORED,9.7619,124.0,172.0,1735.9417,100.0,0.0,0.0,0.0,94209.0,955539.0,1517935.0,545061.0,306657.0,0.0,
500435432,96842,2022-08-29T17:31:24.802Z,2022-08-29T17:31:25.273Z,2022-08-29T16:55:30.927Z,2022-08-29T17:14:26.234Z,-04:00,0,SCORED,9.5536,156.0,180.0,1036.0001,100.0,0.0,0.0,0.0,24072.0,11536.0,9612.0,382604.0,695986.0,11535.0,
498134912,96842,2022-08-25T22:39:10.816Z,2022-08-25T22:39:11.669Z,2022-08-25T21:29:22.902Z,2022-08-25T22:13:17.836Z,-04:00,0,SCORED,14.4771,161.0,180.0,2673.9053,100.0,0.0,0.0,0.0,0.0,0.0,50027.0,440283.0,2113901.0,30762.0,
496914994,96842,2022-08-24T00:08:34.039Z,2022-08-24T00:08:34.795Z,2022-08-23T22:41:57.157Z,2022-08-23T23:36:46.663Z,-04:00,0,SCORED,13.7908,146.0,181.0,2727.5867,100.0,0.0,0.0,0.0,24056.0,218217.0,640233.0,1062230.0,1319815.0,24994.0,
496145486,96842,2022-08-22T17:32:42.378Z,2022-08-22T17:32:42.854Z,2022-08-22T16:32:03.483Z,2022-08-22T16:58:31.566Z,-04:00,0,SCORED,12.9602,163.0,189.0,1671.0704,100.0,0.0,0.0,0.0,22149.0,9613.0,23071.0,139390.0,1221822.0,172076.0,
493868766,96842,2022-08-18T23:19:03.966Z,2022-08-18T23:19:04.429Z,2022-08-18T22:24:12.688Z,2022-08-18T22:47:30.431Z,-04:00,0,SCORED,11.4906,158.0,182.0,1368.5775,100.0,0.0,0.0,0.0,25033.0,9613.0,47105.0,287431.0,1015141.0,13459.0,
492689052,96842,2022-08-17T02:41:30.192Z,2022-08-17T02:41:30.817Z,2022-08-17T01:24:01.063Z,2022-08-17T02:11:36.137Z,-05:00,-1,SCORED,8.9879,124.0,160.0,1503.7028,100.0,0.0,0.0,0.0,173036.0,714275.0,826730.0,1128575.0,12496.0,0.0,
